Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
Basketball,1996-97,Skybox Z Force,Michael Jordan,179,Zuperman,,,4/20/2024,SJ Card Show,$5.00,,,,,,,,
Soccer,2021-22,Topps Chrome UEFA UCL,Alessandro Del Piero,L-2,Sapphire,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Soccer,2021-22,Topps Chrome UEFA UCL,Paul Pogba,155,Sapphire,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Soccer,2021-22,Topps Chrome UEFA UCL,Shola Shoretire,138,"Sapphire, Rookie",,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Basketball,1996-97,Skybox Z Force,Dennis Rodman,193,Zuperman,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Basketball,1996-97,Skybox Z Force,Shaquille O’Neal,187,Zuperman,,,4/20/2024,SJ Card Show,$2.00,,,,,,,,
Basketball,,,Dennis Schroder,,,,,4/20/2024,SJ Card Show,$1.00,,,,,,,,
Basketball,2008-09,Topps,Dennis Rodman,168,,9,,4/21/2024,SJ Card Show,$15.00,,,,,,,,
Golf,2001-02,Upper Deck,Tiger Woods,TT10,Tiger’s Tales,10,,4/21/2024,SJ Card Show,$10.00,,,,,,,,
Football,2021-22,Panini Illusions,Amon-ra St Brown,86,Rookie. /499,,,4/21/2024,SJ Card Show,$1.00,,,,,,,,
Football,2020-21,Panini Select,Justin Herbert,144,Rookie,,,4/21/2024,SJ Card Show,$1.00,,,,,,,,
Basketball,1989-90,NBA Hoops,Steve Kerr,351,Rookie,,,4/21/2024,SJ Card Show,$1.00,,,,,,,,
Basketball,2022-23,Panini Select,Max Christie,181,Rookie,,,4/21/2024,SJ Card Show,$1.00,,,,,,,,
Basketball,1989-90,NBA Hoops,Dennis Rodman,211,,,,4/21/2024,SJ Card Show,$1.00,,,,,,,,
Basketball,1990-91,NBA Hoops,David Robinson,270,,,,4/21/2024,SJ Card Show,$1.00,,,,,,,,
Other,1993-94,,Marilyn Monroe,,,,,4/21/2024,SJ Card Show,$0.00,,,,,,,,
Basketball,1991-92,NBA Hoops,Scottie Pippen,582,,,,4/21/2024,SJ Card Show,$1.00,,,,,,,,
Baseball,1994-95,Fleer,Alex Rodriguez,U86,,,,4/21/2024,SJ Card Show,$1.00,,,,,,,,
Basketball,1997-98,NBA Hoops,Michael Jordan,1,,,,4/21/2024,SJ Card Show,$2.00,,,,,,,,
Basketball,2005-06,SP Authentic,Michael Jordan,12,,,,4/21/2024,SJ Card Show,$4.00,,41.83,,,,,37.83,9.4575
Basketball,2005-06,Upper Deck,Jason Kidd,FR-JK,Fabric Reflections,,,4/21/2024,SJ Card Show,$4.00,,,,,,,,
Soccer,1996-97,Merlin Premier Gold,David Beckham,92,Rookie,,,4/12/2024,eBay,$21.08,,,,,,,,
Soccer,1996-97,Merlin Premier Gold,David Beckham,92,Rookie,,,4/12/2024,eBay,$21.08,,,,,,,,
,2017-18,Hoops,Joakim Noah,101,Teal,,,4/14/2024,eBay,$1.41,,,,,,,,
,1998-99,Topps Chrome,Jason Williams,153,Rookie,,,4/14/2024,eBay,$9.95,,,,,,,,
,2020-21,Prizm,Jonny Evans,123,Red Mojo /135,,,4/14/2024,eBay,$2.07,,,,,,,,
,1996-97,Score,Mariano Rivera,225,Rookie,,,4/15/2024,eBay,$2.00,,,,,,,,
,2014-15,Topps Chrome,Odell Beckham Jr,4,Rookie mini,,,4/15/2024,eBay,$2.00,,,,,,,,
,2001-02,Upper Deck,Tiger Woods,1,Rookie,,,4/15/2024,eBay,$41.28,,,,,,,,
